SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 34 6005141269/3840000000 851294467/537600000 upper [-6.4278689518832624169788365340213102301929765115384231256205035982545495292414251e-24 +/- 2.68e-104]
trow 35 851294467/537600000 14364485939/8960000000 upper [-2.4631048966857875778598532872582557868520973426426669023653317363286845750342312e-24 +/- 7.50e-105]
trow 36 14364485939/8960000000 10905548071/6720000000 upper [-9.3058842956142742808562096273036145346904437336333878640228955179792621509176673e-25 +/- 5.43e-106]
trow 37 10905548071/6720000000 44150926751/26880000000 upper [-3.4656813796670247943350936530681714830410792678629873566758968934916015038839319e-25 +/- 2.02e-105]
trow 38 44150926751/26880000000 7446610203/4480000000 upper [-1.2719005603208052619504222189149388816423741780437019495701048897459698005802685e-25 +/- 2.93e-105]
trow 39 7446610203/4480000000 9041679137/5376000000 upper [-4.5983413463409493801959569480024435007455878468218651257524489291967458521653497e-26 +/- 2.25e-106]
trow 40 9041679137/5376000000 816734467/480000000 upper [-1.6370158236515869437526955388104236806215620972682612397116787702394998329622637e-26 +/- 3.27e-106]
trow 41 816734467/480000000 15421954873/8960000000 upper [-5.7357230157427962583227230874331635514773419826951544227678508873857738728007530e-27 +/- 3.17e-107]
trow 42 15421954873/8960000000 23397299543/13440000000 upper [-1.9766585387301862683985493627700059189108983577999635767895035738911335340401991e-27 +/- 1.57e-109]
trow 43 23397299543/13440000000 47323333553/26880000000 upper [-6.6948694251513308095219196373258689701090225318833431003725764655698341070026893e-28 +/- 2.92e-108]
trow 44 47323333553/26880000000 797534467/448000000 upper [-2.2262848926448195690579830332447098184341083907148794071643706398580343006909937e-28 +/- 1.63e-108]
trow 45 797534467/448000000 48380802487/26880000000 upper [-7.2590821794636839432391276434200824382265181299759955254967507329034209271014281e-29 +/- 1.86e-109]
trow 46 48380802487/26880000000 24454768477/13440000000 upper [-2.3168385102495329762938512063538988384541067383221555244262883687246091711182339e-29 +/- 3.50e-109]
